time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_F,Y_F,N_F
0.0,1.17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.3490658503988659,18.95,-6.2578317225283895,2.0974023771257495,-2.9701269027941053
0.25,1.17606643734041,-0.0042901568083288716,0.005304974758007744,0.2925,0.0,0.0,3.2925,0.0,-2.7075,3.6739403974420594e-16,0.3490658503988659,18.95,-6.274673928804519,5.033952073522978,-7.277349226196372
0.5,1.1821062751470965,-0.008948030820471633,0.010160815156614671,0.5865161167618276,-0.0010504251185802992,0.0013149871559497233,3.586513522975374,0.0028945352123368505,-2.4134812894517186,-0.004995385449496668,0.3490658503988659,18.95,-6.261422500467021,7.494078416191011,-10.919026961220036
0.75,1.1880941498693542,-0.014127057911680027,0.014710897902020958,0.8820461295539287,-0.002922138453764253,0.003867200548095302,3.8820236967217685,0.008679434273086966,-2.117931437613912,-0.014523711180615578,0.3490658503988659,18.95,-6.203740761565709,9.554789721922166,-13.995420467319255
1.0,1.1939967454038076,-0.019676710747140145,0.018953760785401553,1.1790805408091933,-0.005325280050086382,0.007555308430430498,4.1789949171882785,0.017340429603173165,-1.820833835569892,-0.027990989703345757,0.3490658503988659,18.95,-6.094781969320059,11.1914883590448,-16.53632565237405
1.25,1.1997916650749216,-0.025552699901273006,0.022927605612124417,1.4776081934574985,-0.008005453368859779,0.012302449987229078,4.477381170907315,0.02890096561027411,-1.522164783992318,-0.04491187234799264,0.3490658503988659,18.95,-6.009629258490586,12.505754892645104,-18.64267828494281
1.5,1.205458799591963,-0.03172383050798819,0.02666731341788511,1.7776127565291624,-0.010717562974324463,0.018041865394425288,4.777124506413176,0.04340509686280088,-1.221898993354851,-0.06484022281144976,0.3490658503988659,18.95,-5.936059101956091,13.457497365620643,-20.315593819204125
1.75,1.2109680419010882,-0.03815262667709679,0.030200793872480102,2.0790710634707468,-0.013221913956173555,0.024714906856149337,5.078154870177151,0.06091525858128634,-0.9200127432356584,-0.08735908649363282,0.3490658503988659,18.95,-5.867345167559494,14.17524589196036,-21.67183318951746
2.0,1.2163000516872042,-0.044812198487110044,0.033553651603332436,2.381955783652783,-0.015285778362297806,0.0322704446233885,5.380393846813245,0.08150875345919295,-0.616482279507679,-0.11208031018378786,0.3490658503988659,18.95,-5.811036014571226,14.621452391124073,-22.699474696476674
2.25,1.221434433391523,-0.05166678559125779,0.03674490234572521,2.6862335071658787,-0.016679149415836366,0.040662980428840714,5.6837536319297515,0.1052761769785666,-0.311286617597995,-0.13863447581023872,0.3490658503988659,18.95,-5.8027870291524435,14.806687373875912,-23.407124849512254
2.5,1.2263525280501835,-0.05869187153563642,0.039793039246241224,2.9918644470308693,-0.017177512873821812,0.049852646001032036,5.98813728957953,0.13231848377755906,-0.0044083955177912255,-0.16667350952520224,0.3490658503988659,18.95,-5.7548654635480645,14.829579707981742,-23.89905248824349
2.75,1.2310324642375203,-0.06586458412888688,0.042713964991544194,3.2988019603850494,-0.01655903551156608,0.05980382984379242,6.293438812015768,0.1627455290016308,0.30416510875433106,-0.1958636000247633,0.3490658503988659,18.95,-5.706723634396085,14.677654039891275,-24.184138823951148
3.0,1.2354677747951295,-0.07315107271963019,0.045516933369343766,3.606994944764629,-0.014603605314171996,0.0704841867751853,6.599545998529299,0.1966739150517272,0.6144438909999586,-0.2258811256800707,0.3490658503988659,18.95,-5.708730602543993,14.343682331652277,-24.238286322157606
3.25,1.239637222171588,-0.08053220119021065,0.04821312133627957,3.916383433395356,-0.011094866593278099,0.08186474438122524,6.906336291908737,0.23422513639804532,0.9264305748819749,-0.25641486958460086,0.3490658503988659,18.95,-5.68372942023684,13.861022732772575,-24.06863553140081
3.5,1.243522814169186,-0.08798634368542631,0.05081184121215644,4.22690042208101,-0.005818818878961374,0.09391912598702347,7.21367894170155,0.27552452071403666,1.2401219024604697,-0.28716215847195886,0.3490658503988659,18.95,-5.689672682450377,13.304273305774926,-23.789149444639648
3.75,1.2471199082312745,-0.09548950670825779,0.05331942507654888,4.538474092857576,0.00143676543555844,0.10662283513500696,7.521437598425686,0.32069954818483903,1.5555105872894661,-0.3178260173137213,0.3490658503988659,18.95,-5.672896983987095,12.552762753573699,-23.338303300663984
4.0,1.2504116253716056,-0.10301576663804235,0.05573859592153613,4.851023137648198,0.010881886632051401,0.11995255832171764,7.829466079902074,0.3698772065710114,1.8725801953943226,-0.3481134333069076,0.3490658503988659,18.95,-5.6619719566727875,11.781786049818267,-22.785620338657225
4.25,1.2533886374314305,-0.11055339139918706,0.05807492068096953,5.164461198340455,0.02272199329985536,0.13388687976484775,8.137612795812787,0.4231836998933483,2.1913096008681228,-0.37773971329363765,0.3490658503988659,18.95,-5.636156800830948,10.912029646079583,-22.08787689338701
4.5,1.2560449983231514,-0.11807066154728985,0.060330031634540676,5.478692907165857,0.037162509436302664,0.14840481541889267,8.44571751082488,0.48074452133717843,2.5116683035068355,-0.40641950246457215,0.3490658503988659,18.95,-5.63241861216095,9.948402381893706,-21.25180954567608
4.75,1.258373048483206,-0.12555424635144982,0.06250705677657438,5.793616763225778,0.05440292075983819,0.1634864796264491,8.753614237281026,0.5426804582183612,2.8336192891705303,-0.43387461669868477,0.3490658503988659,18.95,-5.614757113695371,8.972142398005023,-20.324294028912554
5.0,1.2603644404047738,-0.13298558996279433,0.06460708456898666,6.109122903833301,0.07463962714212317,0.17911225458506452,9.061129617149014,0.6091079279449888,3.157116190517588,-0.4598286736607418,0.3490658503988659,18.95,-5.606978868581607,7.882871669541245,-19.31346879366855
5.25,1.262017413157123,-0.14034090155347997,0.06663000532811586,6.425095334384916,0.09806565790380777,0.1952626539132954,9.368085560899965,0.6801382707597146,3.4821051078698666,-0.4840069549520993,0.3490658503988659,18.95,-5.571736071792223,6.8153254020403455,-18.23209789861971
5.5,1.2633255357968567,-0.14760901177334204,0.06857611012018054,6.741410195047047,0.12486706587195848,0.21191848512659764,9.674297758715971,0.7558746243657297,3.8085226313781226,-0.5061404926218124,0.3490658503988659,18.95,-5.520097376813117,5.602831859034128,-17.061226886359695
5.75,1.2642927486737177,-0.1547657218218304,0.07044518603260662,7.057937211256906,0.15522700833887243,0.22906058096456694,9.979577606551647,0.8364152353231529,4.136296815962164,-0.5259612186454078,0.3490658503988659,18.95,-5.488350040290513,4.5484011668613205,-15.853903535601974
6.0,1.2649165925135146,-0.16180569657068716,0.07223755031290618,7.374539191856438,0.1893192582912962,0.24666985940887515,10.283732004715922,0.9218471946914882,4.465346378996953,-0.5432086781088957,0.3490658503988659,18.95,-5.452199869246185,3.3744375246731892,-14.605235799651178
6.25,1.2651956084155598,-0.16869440748619227,0.07395164822486085,7.691071030772529,0.22731556462757607,0.26472688184615156,10.586563021956753,1.0122525869344758,4.795579039588305,-0.5576214576793231,0.3490658503988659,18.95,-5.3851775895628045,2.2405660855780174,-13.28097870572276
6.5,1.265137224713715,-0.17543978291947931,0.07558763131072253,8.007383990435406,0.26937459495883986,0.28321232173781113,10.88787220447675,1.1076989049780972,5.12689577639406,-0.5689497150604169,0.3490658503988659,18.95,-5.2740417285829695,1.011691595251159,-11.936979147259557
6.75,1.2647447855819351,-0.18201125350400288,0.07714586840830909,8.323322661741361,0.31565158828571704,0.3021068540353212,11.187457915812583,1.208248499767256,5.459187407670141,-0.5769453231958218,0.3490658503988659,18.95,-5.152419258438218,-0.17811718101832663,-10.582257417058008
7.0,1.2640292384702114,-0.1884114873162155,0.07862529530082764,8.638727066283177,0.3662902265541312,0.32139071870096003,11.48511814629054,1.3139493528660204,5.792335986275812,-0.5813688997577573,0.3490658503988659,18.95,-5.010893146561229,-1.3581291661250876,-9.223307657625378
7.25,1.2629936885164281,-0.1946199276895286,0.08002580997192066,8.95343102862152,0.421427619473138,0.341044271148429,11.780648730436395,1.4248418243479828,6.126213326806646,-0.5819865854017069,0.3490658503988659,18.95,-4.841162448567037,-2.503234688711159,-7.831736047186452
7.5,1.2616485558202268,-0.20062925831931644,0.08134758272291967,9.267265494772564,0.48118987984085315,0.36104785810776213,12.073847024343506,1.5409540601528429,6.460683965201625,-0.5785743004711371,0.3490658503988659,18.95,-4.642533111469809,-3.6608568713798055,-6.483832372736399
7.75,1.260004859630301,-0.20643019755353692,0.08259185104562723,9.580057735072105,0.5456936876285781,0.38138199342512813,12.36451115284866,1.6623042572689002,6.795604317295551,-0.5709168820117443,0.3490658503988659,18.95,-4.394364152162494,-4.776390674121006,-5.118464032795561
8.0,1.2580747387434084,-0.21201916671095036,0.08375777848873549,9.89163227364225,0.6150445942568177,0.4020268931503719,12.652441653175664,1.7888978942395415,7.130822894108835,-0.5588087057259061,0.3490658503988659,18.95,-4.180451447755539,-5.757755932301176,-3.8130392160674713
8.25,1.2558719035473545,-0.21738626063751465,0.08484791591499649,10.20181127324279,0.6893385812351791,0.422963463624783,12.93744092140341,1.9207322746186577,7.466181625082169,-0.5420551121482994,0.3490658503988659,18.95,-3.9361210318824864,-6.870076552271787,-2.499439018503683
8.5,1.2534003105330291,-0.22252362237266587,0.08586173431435969,10.510413345812626,0.7686602837996858,0.4441723249563721,13.219313252118909,2.057792277667585,7.801513439506343,-0.5204717100682137,0.3490658503988659,18.95,-3.677470156605906,-7.9148406812878065,-1.2379501254815888
8.75,1.2506823736475403,-0.2274452898870212,0.08680271050540521,10.81725995784222,0.8530807332365492,0.4656349555694506,13.497869928512976,2.2000514772176483,8.136649987171463,-0.4938900107445499,0.3490658503988659,18.95,-3.382677306206419,-8.925926662265788,-0.01053406200033137
9.0,1.2477288988664077,-0.23213569054592048,0.08767119920998971,11.12216885832642,0.9426636094013533,0.4873327187685671,13.772923888603701,2.347475970344892,8.471413828049139,-0.4621487515421861,0.3490658503988659,18.95,-3.093221552575326,-9.948831159337539,1.169566881131934
9.25,1.2445573215375068,-0.236596772848168,0.08846978157604053,11.42495953053061,1.0374593119169777,0.509247706174893,14.044294070659745,2.5000209574165755,8.805624990401475,-0.42510233358261973,0.3490658503988659,18.95,-2.764680478401409,-10.816324130276243,2.2866400406354876
9.5,1.2411780093622486,-0.24083387043321305,0.08920039213360441,11.725451316138535,1.137506343506227,0.5313623762332584,14.311803946350643,2.6576313621132406,9.139098685926427,-0.38261867510078607,0.3490658503988659,18.95,-2.426588070599337,-11.70879444541092,3.3392050545559866
9.75,1.2376087693036852,-0.24483444924566974,0.08986523462497618,12.023465087393186,1.2428346589431307,0.5536597130965045,14.575282883078934,2.820245809411371,9.47164729170744,-0.3345764915251101,0.3490658503988659,18.95,-2.1157849002299436,-12.570026729930987,4.355902878573341
10.0,1.2338646283408239,-0.24861559879358405,0.09046665737218788,12.318824255611496,1.3534593668862787,0.5761233376334566,14.834566844549464,2.9877907978401383,9.803081666673528,-0.28087206406758125,0.3490658503988659,18.95,-1.801227781180432,-13.36885261785483,5.2836064072331395
10.25,1.229955100255281,-0.2521776525255575,0.09100823401467717,12.611353324182794,1.4693868396085534,0.5987376047240277,15.089496601383187,3.160187211523209,10.1332100469824,-0.22141353230610183,0.3490658503988659,18.95,-1.446699512781885,-14.171550903192363,6.153370844169284
