time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_F,Y_F,N_F
0.0,1.17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.3490658503988659,18.95,-16.446246789155648,2.2776502973607364,-2.867739167627187
0.25,1.17606643734041,-0.0042901568083288716,0.005304974758007744,0.2925,0.0,0.0,3.2925,0.0,-2.7075,3.6739403974420594e-16,0.3490658503988659,18.95,-16.413450401386772,5.3824448960594315,-6.9692781406388375
0.5,1.182107253745286,-0.008940164741880438,0.010162061094013058,0.586515466171744,-0.001048524664188431,0.0013153751969371833,3.5865128708542553,0.0028975997886843026,-2.4134819385107673,-0.004994649117060333,0.3490658503988659,18.95,-16.122168801644943,8.088946399103065,-10.420962725954736
0.75,1.1880943570915599,-0.01412368334084658,0.014712334037113176,0.8820462294051948,-0.002920980396603746,0.0038675841411780626,3.88202379212253,0.008681743100889818,-2.11793133331214,-0.01452370389409659,0.3490658503988659,18.95,-15.657376069684922,10.338431159485628,-13.272393445504322
1.0,1.1940021019537304,-0.019671298407405755,0.018954894277285254,1.1790821652433539,-0.005323903321196887,0.007555674109590139,4.178996533333861,0.017342903338229285,-1.8208322028471533,-0.027990709980622447,0.3490658503988659,18.95,-15.11246511527245,12.169910537984526,-15.596219815617856
1.25,1.1998036676999078,-0.02554790387717347,0.022929142360636773,1.4776112414991471,-0.008004275588686749,0.012302896936160868,4.477384202454139,0.028903484135780675,-1.522161719455844,-0.044912035313153464,0.3490658503988659,18.95,-14.527053348301566,13.615374189473409,-17.44958601867967
1.5,1.2054701510489103,-0.03171900835841336,0.026668843955606626,1.7776160324012615,-0.010716313806222259,0.01804230772171681,4.777127758345035,0.04340767279680569,-1.2218956935425118,-0.06484030040925048,0.3490658503988659,18.95,-13.908331794668172,14.737022528915945,-18.928452215238853
1.75,1.2109791498339437,-0.038150588002554726,0.030202901994942705,2.079074490712271,-0.013221038705964108,0.024715433719740373,5.078158258358108,0.06091771393955034,-0.9200092769335664,-0.08735979135147881,0.3490658503988659,18.95,-13.26256925299967,15.555995265470743,-20.01281436133982
2.0,1.216310706656892,-0.04480795171381751,0.03355463084718011,2.381959312604677,-0.0152846379210026,0.03227081078523144,5.3803973403224745,0.08151099181408883,-0.6164787151131201,-0.11208026765609413,0.3490658503988659,18.95,-12.5991812191384,16.090325143861374,-20.823123087213336
2.25,1.2214453178048768,-0.05166418954630436,0.036746842814331326,2.6862371800862155,-0.01667823437659317,0.04066349022390955,5.683757242677411,0.10527862013876962,-0.31128288250497954,-0.1386350888919556,0.3490658503988659,18.95,-11.975458760534613,16.371854013409752,-21.370001147869374
2.5,1.226365375587244,-0.05869019598324618,0.039794963679155124,2.991868489119859,-0.01717672196426463,0.04985313363508427,5.988141258767256,0.13232073577168807,-0.004404280527538998,-0.16667417970021753,0.3490658503988659,18.95,-11.329422244689104,16.442515459873405,-21.679656762980617
2.75,1.231047810854829,-0.06586061183075935,0.04271461628247727,3.2988063854815177,-0.01655805239545659,0.05980415039116971,6.293443179637472,0.16274747204077952,0.3041695913255641,-0.1958635768316922,0.3490658503988659,18.95,-10.754925081593331,16.289699304687097,-21.806443169949695
3.0,1.2354832927380557,-0.07314844862283751,0.04551800272964405,3.606999485665978,-0.01460273504176429,0.0704845149042564,6.599550470104192,0.19667576726712116,0.614448501227765,-0.22588123735064877,0.3490658503988659,18.95,-10.16464785467265,15.93177052607502,-21.69340881788099
3.25,1.2396469457976027,-0.08053258264435637,0.04821463044966505,3.9163870003670156,-0.011094490949750721,0.08186510072549066,6.906339771461974,0.23422657749412398,0.9264342292720562,-0.2564155593936257,0.3490658503988659,18.95,-9.59635728099627,15.490603486603366,-21.5671337452803
3.5,1.2435357146670505,-0.08798946706404079,0.05081459243983721,4.226904381521453,-0.005818895646786011,0.09391966848180879,7.213682748514266,0.275526064257943,1.2401260145286401,-0.28716385555151486,0.3490658503988659,18.95,-9.052124815590041,14.904064923936797,-21.24362991250969
3.75,1.2471306604517962,-0.0954894545640782,0.05331907655372768,4.538477808587204,0.0014370632109679327,0.10662289763925464,7.521441294200138,0.3207000324081496,1.5555143229742696,-0.31782590598621335,0.3490658503988659,18.95,-8.527384765683472,14.199222207932959,-20.85015386071671
4.0,1.2504230174320747,-0.10301729817158219,0.0557385271991784,4.851027116275804,0.010882025288578607,0.11995260678154972,7.829470041132824,0.36987748956238303,1.8725841914187848,-0.3481134389852257,0.3490658503988659,18.95,-8.057209751075412,13.32421308255444,-20.289119116450774
4.25,1.2534005680299773,-0.11054983744421998,0.05807329198674951,5.164464982626813,0.022722896177351244,0.13388666342808747,8.137616666733654,0.4231839595688492,2.191313298519971,-0.3777381672141462,0.3490658503988659,18.95,-7.580948858510527,12.418301010071346,-19.61795047952312
4.5,1.2560551351589984,-0.11807174043781349,0.060329537442073526,5.478696249668247,0.03716268320338788,0.14840471213752537,8.445720899141197,0.4807443886659316,2.5116716001952955,-0.4064190222591552,0.3490658503988659,18.95,-7.15792724367448,11.393433226339399,-18.91479373175647
4.75,1.258382667283582,-0.1255546884663061,0.0625073025709651,5.793619857822173,0.054403233249970484,0.1634864781796405,8.753617332583865,0.5426807664259437,2.833622383060482,-0.4338742999260024,0.3490658503988659,18.95,-6.744319015578062,10.32417755877712,-18.106388262392414
