time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_F,Y_F,N_F
0.0,1.17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.3490658503988659,18.95,-15.26593925309396,2.375292959467498,-2.972667263822553
0.25,1.17606643734041,-0.0042901568083288716,0.005304974758007744,0.2925,0.0,0.0,3.2925,0.0,-2.7075,3.6739403974420594e-16,0.3490658503988659,18.95,-15.171624987400826,5.803828744062308,-7.217997473281999
0.5,1.1821038018487637,-0.008937047121734869,0.010160315929374858,0.5865149931792709,-0.0010474951631223848,0.0013149775281930357,3.5865123994307955,0.00289743628454967,-2.413482413072254,-0.004992426610794738,0.3490658503988659,18.95,-14.902421059404587,8.661338125763752,-10.78876601003199
0.75,1.188096674230653,-0.0141165168400749,0.014710820290612747,0.8820466725296326,-0.0029191430605629925,0.003867212157198002,3.8820242395661064,0.008682464493348738,-2.117930894506841,-0.014520750614474697,0.3490658503988659,18.95,-14.453675745655348,11.148475403169387,-13.77416543916041
1.0,1.1940023553427785,-0.019668226791316617,0.01895386045227539,1.17908218890294,-0.005322943934539272,0.00755540118239647,4.178996563179746,0.017343043966676505,-1.8208321853738665,-0.027988931835754197,0.3490658503988659,18.95,-13.92458725915639,13.18059232681913,-16.202825878986534
1.25,1.1998024662050502,-0.025544020171260316,0.022928132233174414,1.4776110277731174,-0.008003150189904999,0.012302623826380615,4.477383998807108,0.02890379026721753,-1.5221619432608733,-0.044910090647027334,0.3490658503988659,18.95,-13.324905266744354,14.850471029965876,-18.166329438079515
1.5,1.205468016709339,-0.03171570390956611,0.02666816690668374,1.7776156451118463,-0.010715284144385093,0.01804209124786046,4.777127382771983,0.043408053142771214,-1.2218960925482907,-0.06483862143154147,0.3490658503988659,18.95,-12.703703128155674,16.13045555754411,-19.69612164540536
1.75,1.2109793362728654,-0.03814478259254788,0.030201882232932093,2.0790744888896553,-0.013219716020293475,0.024715196732066954,5.078158274105283,0.06091832587933203,-0.9200092963259726,-0.08735775791991891,0.3490658503988659,18.95,-12.049854260947804,17.152187843152067,-20.900951933299375
2.0,1.2163122165993765,-0.04480417492528719,0.03355454825598175,2.3819595355966228,-0.01528358706923355,0.03227072161932649,5.380397571945279,0.08151177530741735,-0.616478500752034,-0.11207894944588351,0.3490658503988659,18.95,-11.447041627436295,17.80333778987225,-21.74559618092405
2.25,1.221448841805542,-0.051657244908617096,0.0367454046479008,2.686237736895311,-0.016676847517150126,0.040663232804739234,5.683757830880443,0.10527923537908125,-0.31128235708981955,-0.13863293041338112,0.3490658503988659,18.95,-10.821874859953567,18.218797468588235,-22.325049641991374
